name,constellation,RA_deg,Dec_deg,magnitude,Distance_ly
* zet And,Andromeda,11.834690416666666,24.267178333333334,4.059999942779541,55.529950078574885
* pi. And,Andromeda,9.22021375,33.719343333333335,4.360000133514404,176.7940172904549
* lam And,Andromeda,354.39101124999996,46.458151111111114,3.819999933242798,25.924466474479956
* omi And,Andromeda,345.4802704166666,42.32601527777778,3.619999885559082,107.46794768460308
* phi And,Andromeda,17.37552333333333,47.241794166666665,4.25,219.7802197802198
* eps And,Andromeda,9.638947499999999,29.311753055555556,4.380000114440918,51.961278455295115
* nu. And,Andromeda,12.453526249999998,41.07891083333334,4.53000020980835,172.80707817792216
* ups Per,Andromeda,24.498158333333333,48.628211944444445,3.569999933242798,53.91155270662951
* sig And,Andromeda,4.5819054166666655,36.785224444444445,4.519999980926514,43.00298440711785
* iot And,Andromeda,354.5341679166666,43.268072777777775,4.289999961853027,155.48955887612146
* gam01 And,Andromeda,30.97480083333333,42.329728333333335,2.0999999046325684,120.48192771084337
* bet And,Andromeda,17.433015833333332,35.620557500000004,2.049999952316284,60.53268765133172
* kap And,Andromeda,355.1021154166666,44.33393277777778,4.139999866485596,51.52939236540522
* del And,Andromeda,9.831679583333333,30.860983333333333,3.2799999713897705,31.67213010911049
* alf And,Pegasus,2.096915833333333,29.09043111111111,2.059999942779541,29.744199881023203
* eta And,Andromeda,14.301667499999997,23.417650000000002,4.420000076293945,79.60262370247723
* mu. And,Andromeda,14.188370833333332,38.49933416666667,3.869999885559082,37.44673202369629
* eps Ant,Antlia,142.31133166666663,-35.95133722222222,4.510000228881836,215.75438520787935
* alf Ant,Antlia,156.78791916666665,-31.06777888888889,4.25,112.27250783100742
* iot Ant,Antlia,164.17937999999998,-37.13776722222222,4.599999904632568,63.6407606343711
* gam Aps,Apus,248.36284374999997,-78.89714805555556,3.8540000915527344,46.94108424516389
* del01 Aps,Apus,245.08667291666663,-78.69574833333334,4.679999828338623,190.44716995505448
* bet Aps,Apus,250.7694104166666,-77.51743305555556,4.239999771118164,47.724723793161054
* alf Aps,Apus,221.96546249999997,-79.04475333333333,3.7980000972747803,152.65078080874383
* zet Aql,Aquila,286.35253333333327,13.863477222222222,2.990000009536743,26.155483889529698
* bet Aql,Aquila,298.8283033333333,6.406764166666667,3.7100000381469727,13.600834547207816
* lam Aql,Aquila,286.56224416666663,-4.882562500000001,3.430000066757202,39.0001911009364
* del Aql,Aquila,291.37458875,3.1147794444444443,3.359999895095825,15.52553951249806
* eps Aql,Aquila,284.90565124999995,15.068280833333333,4.019999980926514,54.99914751321355
* tet Aql,Aquila,302.8261941666666,-0.8214633333333333,3.2200000286102295,70.08346941206977
* gam Aql,Aquila,296.5649120833333,10.61325861111111,2.7200000286102295,178.89407681711657
* eta Aql,Aquila,298.11820374999996,1.0056586111111112,3.799999952316284,272.3682418629988
* iot Aql,Aquila,294.18032374999996,-1.2865994444444444,4.360000133514404,176.45086725601257
* i Aql,Aquila,285.42011999999994,-5.739089444444445,4.019999980926514,46.36734996684734
* alf Aql,Aquila,297.69582708333326,8.868321111111111,0.7599999904632568,5.12952038984355
* pi. Aqr,Aquarius,336.3192625,1.3773983333333333,4.639999866485596,336.0102147105272
* psi02 Aqr,Aquarius,349.47589041666663,-9.18251861111111,4.400000095367432,123.15270935960592
* eps Aqr,Aquarius,311.91895625,-9.495776666666666,3.7699999809265137,74.83965603694085
* bet Aqr,Aquarius,322.88971666666663,-5.571174722222222,2.890000104904175,167.4256630056255
* zet01 Aqr,Aquarius,337.2078599999999,-0.02054472222222222,4.489999771118164,29.025469849793193
* iot Aqr,Aquarius,331.60928041666665,-13.869680555555556,4.269999980926514,64.54111268878276
* tet Aqr,Aquarius,334.20848583333327,-7.783288611111111,4.159999847412109,58.51614753091115
* phi Aqr,Aquarius,348.58065916666663,-6.0490063888888885,4.21999979019165,69.69515339903263
* gam Aqr,Aquarius,335.4140479166666,-1.3873491666666666,3.8340001106262207,38.677088852876224
* eta Aqr,Aquarius,338.83908875,-0.11749722222222223,4.03000020980835,54.43391450609388
* del Aqr,Aquarius,343.6625258333333,-15.820819444444444,3.2799999713897705,43.20568932517034
* c02 Aqr,Aquarius,347.36164999999994,-21.172415,3.640000104904175,78.92036934732855
* b01 Aqr,Aquarius,350.74260749999996,-20.100581944444446,3.9800000190734863,50.36311808136666
* alf Aqr,Aquarius,331.44598124999993,-0.3198508333333333,2.940000057220459,202.2203797698732
* lam Aqr,Aquarius,343.1536416666666,-7.579596666666666,3.7899999618530273,111.90689346463742
* tau Aqr,Aquarius,342.3979204166666,-13.592628333333334,3.9800000190734863,99.82929191083248
* tet Ara,Ara,271.65778374999996,-50.091479722222225,3.6600000858306885,339.328130302002
* bet Ara,Ara,261.32494916666667,-55.52988166666667,2.8499999046325684,219.29343654744412
* del Ara,Ara,262.7746395833333,-60.68384472222222,3.619999885559082,69.11423200265399
* zet Ara,Ara,254.6550520833333,-55.990138611111114,3.0759999752044678,173.235166738848
* alf Ara,Ara,262.96038124999995,-49.876145,2.950000047683716,81.9672131147541
* gam Ara,Ara,261.34858041666666,-56.37772611111111,3.3399999141693115,341.29692832764505
* eps01 Ara,Ara,254.89603375000002,-53.16043777777778,4.050000190734863,112.96882060551287
* eta Ara,Ara,252.44648416666664,-59.041379166666665,3.74399995803833,93.46405839634369
* gam01 Ari,Aries,28.382579999999997,19.295952777777778,4.589000225067139,52.96357694813277
* bet Ari,Aries,28.660045416666662,20.80803138888889,2.6500000953674316,17.985611510791365
* alf Ari,Aries,31.793357083333326,23.4624175,2.009999990463257,20.177562550443906
*  41 Ari,Aries,42.495971666666655,27.260507222222223,3.5940001010894775,50.78720162519045
* eta Aur,Auriga,76.62872541666665,41.234475555555555,3.180000066757202,71.32260641332877
* alf Aur,Auriga,79.17232791666666,45.99799138888889,0.07999999821186066,13.123359580052494
* bet Aur,Auriga,89.88217875,44.9474325,1.899999976158142,24.86943546381497
* eps Aur,Auriga,75.49222624999999,43.82331027777778,2.990000009536743,1012.2482032594393
* zet Aur,Auriga,75.61951416666665,41.075831944444445,3.75,702.0499859590002
* tet Aur,Auriga,89.93029208333333,37.212584444444445,2.619999885559082,50.76142131979696
* del Aur,Auriga,89.88174333333332,54.28473777777778,3.7200000286102295,43.37322224005343
* iot Aur,Auriga,74.24841666666666,33.16609361111111,2.690000057220459,137.94815908181704
* bet Tau,Taurus,81.57297125,28.60745166666667,1.649999976158142,41.050903119868636
* kap02 Boo,Bootes,213.37086499999995,51.789967222222224,4.5,49.62040391008783
* eps Boo,Bootes,221.2467395833333,27.07422222222222,2.450000047683716,72.32383721350719
* zet Boo,Bootes,220.28729791666666,13.728304444444445,3.7799999713897705,53.87931034482759
* tet Boo,Bootes,216.29915375,51.85074361111111,4.050000190734863,14.478359196508977
* gam Boo,Bootes,218.01946499999997,38.30824805555555,3.0199999809265137,26.376524892845367
* eta Boo,Bootes,208.67116208333331,18.397720555555555,2.680000066757202,11.396011396011396
* alf Boo,Bootes,213.91529999999997,19.18240916666667,-0.05000000074505806,11.257458065968704
* tau Boo,Bootes,206.81557541666663,17.456891388888888,4.489999771118164,15.61353381110747
* del Boo,Bootes,228.8756783333333,33.31483111111111,3.490000009536743,36.93498703581955
* rho Boo,Bootes,217.95745541666665,30.37143638888889,3.5899999141693115,50.365147318055904
* bet Boo,Bootes,225.48650958333332,40.390568333333334,3.5199999809265137,72.05649228995533
* lam Boo,Bootes,214.09591,46.08830416666667,4.179999828338623,30.685671325774425
* del Cae,Caelum,67.70874875,-44.95374972222223,5.059000015258789,209.09128925688955
* bet Cae,Caelum,70.51450916666666,-37.14433,5.050000190734863,28.894385243059567
* gam Cae,Caelum,76.10167541666665,-35.48297527777778,4.573999881744385,56.84660512074219
* alf Cae,Caelum,70.14046875,-41.863751111111114,4.449999809265137,20.382373323549796
* gam Cam,Camelopardalis,57.58962208333333,71.33226583333332,4.604000091552734,118.41887123131943
* alf Cam,Camelopardalis,73.51254708333333,66.34267583333333,4.289999961853027,1690.3313049357673
* bet Cam,Camelopardalis,75.85454583333332,60.44224527777777,4.019999980926514,257.7319587628866
HD  49878,Camelopardalis,105.01682124999999,76.97740861111112,4.539999961853027,58.564124788437105
HD  42818,Camelopardalis,94.71157291666665,69.31981416666666,4.756999969482422,54.50422952821139
HD  21291,Camelopardalis,52.267219999999995,59.94033361111111,4.21999979019165,949.9382540134892
V* BE Cam,Camelopardalis,57.38032291666666,65.52597916666666,4.480000019073486,300.40855563566447
*   7 Cam,Camelopardalis,74.32165708333332,53.75210194444445,4.433000087738037,106.6302702011047
* del Cnc,Cancer,131.17124624999997,18.154308055555553,3.940000057220459,41.969018470565025
* gam Cnc,Cancer,130.82144624999998,21.46849861111111,4.6519999504089355,53.639147995773236
* iot Cnc,Cancer,131.67425166666666,28.759893055555555,4.01800012588501,106.2428286090689
* alf Cnc,Cancer,134.62168416666665,11.857680277777778,4.249000072479248,54.554183214768905
* bet Cnc,Cancer,124.12883708333332,9.185543888888889,3.5199999809265137,98.98441985231524
* omi01 CMa,Canis Major,103.53313416666667,-24.184210833333335,3.869999885559082,777.0611547128759
* eps CMa,Canis Major,104.65645291666665,-28.97208611111111,1.5,124.22360248447204
* gam CMa,Canis Major,105.93955583333332,-15.633286944444444,4.119999885559082,131.8930611060552
* alf CMa,Canis Major,101.28715499999998,-16.716115833333333,-1.4600000381469727,2.6370612589330453
* nu.02 CMa,Canis Major,99.17098999999999,-19.255880277777777,3.9100000858306885,20.47124813199861
* iot CMa,Canis Major,104.03426875,-17.054238611111113,4.385000228881836,1057.8652279699565
* eta CMa,Canis Major,111.02375916666666,-29.303105277777778,2.450000047683716,609.7560975609756
* bet CMa,Canis Major,95.67493874999998,-17.95591861111111,1.9700000286102295,151.05740181268882
* del CMa,Canis Major,107.09785,-26.393199444444445,1.840000033378601,492.6108374384237
* tet CMa,Canis Major,103.547495,-12.038628055555556,4.079999923706055,82.86651861182007
* bet CMi,Canis Minor,111.78767374999998,8.289315555555556,2.890000104904175,49.578582052553294
